kernel,nb_partitions,mesh_size,nb_repeat,cores,dram
stencil,1,512,10,464.21440,76.80950
stencil,1,1024,10,1824.17430,282.84230
stencil,1,2048,10,16414.12620,2982.94800
stencil,1,4096,10,111405.56280,21322.15800
stencil_starpu,2,512,10,369.59210,74.45480
stencil_starpu,4,512,10,352.24730,66.97790
stencil_starpu,8,512,10,336.85670,66.70910
stencil_starpu,16,512,10,390.81080,70.54320
stencil_starpu,32,512,10,508.85830,85.81110
stencil_starpu,64,512,10,785.96840,107.60330
stencil_starpu,128,512,10,1448.66150,148.37020
stencil_starpu,256,512,10,2631.47150,232.23970
stencil_starpu,510,512,10,4636.10350,377.96780
stencil_starpu,2,1024,10,1815.81330,276.34830
stencil_starpu,4,1024,10,1397.47190,219.97800
stencil_starpu,8,1024,10,1356.11730,236.03690
stencil_starpu,16,1024,10,1539.72980,258.11400
stencil_starpu,32,1024,10,1590.49250,258.17910
stencil_starpu,64,1024,10,1814.84950,264.03700
stencil_starpu,128,1024,10,2450.31220,319.39070
stencil_starpu,256,1024,10,3030.24730,329.84630
stencil_starpu,512,1024,10,5431.27010,522.11040
stencil_starpu,1022,1024,10,10007.40660,854.00530
stencil_starpu,510,1024,10,5617.30630,521.00410
stencil_starpu,2,2048,10,9543.81880,1528.49420
stencil_starpu,4,2048,10,9513.76620,1634.72910
stencil_starpu,8,2048,10,9445.30700,1661.43100
stencil_starpu,16,2048,10,10764.18910,1906.32240
stencil_starpu,32,2048,10,7394.40150,1284.36040
stencil_starpu,64,2048,10,11314.11770,2011.68140
stencil_starpu,128,2048,10,10330.53540,1719.38400
stencil_starpu,256,2048,10,10902.25370,1696.93490
stencil_starpu,512,2048,10,13125.50550,1855.68050
stencil_starpu,1024,2048,10,17769.29000,2223.16980
stencil_starpu,2046,2048,10,27265.60790,2858.75780
stencil_starpu,510,2048,10,15289.42740,2245.76310
stencil_starpu,1022,2048,10,18306.35910,2308.72730
stencil_starpu,2,4096,10,62596.21280,11205.14910
stencil_starpu,4,4096,10,59789.82130,11049.46330
stencil_starpu,8,4096,10,58416.15740,10929.59980
stencil_starpu,16,4096,10,58555.37490,10945.71030
stencil_starpu,32,4096,10,65676.98520,12393.98770
stencil_starpu,64,4096,10,58036.32530,10879.05460
stencil_starpu,128,4096,10,58041.21450,10902.87750
stencil_starpu,256,4096,10,65825.52010,12331.07370
stencil_starpu,512,4096,10,68773.10380,12559.03180
stencil_starpu,1024,4096,10,81432.63540,14144.08290
stencil_starpu,2048,4096,10,83648.33780,13800.23630
stencil_starpu,4094,4096,10,103660.45210,15592.00450
stencil_starpu,510,4096,10,64195.89620,11677.50040
stencil_starpu,1022,4096,10,67629.13150,11932.67640
stencil_starpu,2046,4096,10,78870.86950,12937.60550
